ticker,expiration,contractSymbol,strike,price,bid,midPrice,score,impliedVolatility
SPY,2026-02-09T21:00:00+00:00,SPY260209P00667000,667.0,0.04,0.04,0.045,58.27829453479101,0.17285983398437502
SPY,2026-02-09T21:00:00+00:00,SPY260209P00670000,670.0,0.06,0.06,0.065,57.90317865741951,0.16162947753906248
SPY,2026-02-09T21:00:00+00:00,SPY260209P00668000,668.0,0.05,0.05,0.055,57.35823567747782,0.17090672851562502
SPY,2026-02-09T21:00:00+00:00,SPY260209P00669000,669.0,0.06,0.05,0.055,56.77232927364145,0.1645591357421875
SPY,2026-02-09T21:00:00+00:00,SPY260209P00666000,666.0,0.04,0.04,0.045,54.88966596986786,0.179695703125
SPY,2026-02-09T21:00:00+00:00,SPY260209P00665000,665.0,0.04,0.03,0.035,54.39157090914147,0.180672255859375
SPY,2026-02-09T21:00:00+00:00,SPY260209P00671000,671.0,0.07,0.07,0.07500000000000001,53.61876792480139,0.15821154296875
SPY,2026-02-09T21:00:00+00:00,SPY260209P00664000,664.0,0.04,0.03,0.035,52.46464870061692,0.187508125
SPY,2026-02-09T21:00:00+00:00,SPY260209P00662000,662.0,0.03,0.03,0.035,52.15347330250004,0.1992267578125
SPY,2026-02-09T21:00:00+00:00,SPY260209P00672000,672.0,0.09,0.08,0.08499999999999999,51.43549307978087,0.1538170556640625
SPY,2026-02-09T21:00:00+00:00,SPY260209P00663000,663.0,0.03,0.03,0.035,51.237330521688875,0.19336744140625
SPY,2026-02-09T21:00:00+00:00,SPY260209P00673000,673.0,0.1,0.1,0.10500000000000001,48.96565495470871,0.1518639501953125
SPY,2026-02-09T21:00:00+00:00,SPY260209P00675000,675.0,0.15,0.14,0.14500000000000002,48.721401799635906,0.14527221923828126
SPY,2026-02-09T21:00:00+00:00,SPY260209P00674000,674.0,0.13,0.12,0.125,48.38454646366297,0.1489342919921875
SPY,2026-02-09T21:00:00+00:00,SPY260209P00676000,676.0,0.18,0.16,0.165,44.577700144549844,0.14112187011718752
SPY,2026-02-09T21:00:00+00:00,SPY260209P00677000,677.0,0.21,0.2,0.20500000000000002,40.70533156786208,0.13916876464843753
SPY,2026-02-09T21:00:00+00:00,SPY260209P00650000,650.0,0.03,0.02,0.025,39.34620531297297,0.26563234375
SPY,2026-02-09T21:00:00+00:00,SPY260209P00655000,655.0,0.02,0.02,0.025,38.84948040533894,0.23438265625
SPY,2026-02-09T21:00:00+00:00,SPY260209P00660000,660.0,0.03,0.02,0.025,38.08531217984045,0.20508607421874997
SPY,2026-02-09T21:00:00+00:00,SPY260209P00678000,678.0,0.25,0.24,0.245,37.90094212685423,0.13599496826171875
SPY,2026-02-10T21:00:00+00:00,SPY260210P00650000,650.0,0.04,0.04,0.045,37.220312914120804,0.24414818359375
SPY,2026-02-10T21:00:00+00:00,SPY260210P00660000,660.0,0.08,0.07,0.07500000000000001,36.678674720307995,0.20117986328124998
SPY,2026-02-10T21:00:00+00:00,SPY260210P00655000,655.0,0.06,0.05,0.055,36.483316374830714,0.22168747070312497
SPY,2026-02-09T21:00:00+00:00,SPY260209C00700000,700.0,0.04,0.03,0.035,-36.44677766051651,0.07422800781250001
SPY,2026-02-09T21:00:00+00:00,SPY260209P00679000,679.0,0.3,0.29,0.295,35.889942726861676,0.1333094482421875
SPY,2026-02-09T21:00:00+00:00,SPY260209P00661000,661.0,0.03,0.02,0.025,34.756068535494784,0.1992267578125
SPY,2026-02-09T21:00:00+00:00,SPY260209P00680000,680.0,0.36,0.35,0.355,34.38112344059218,0.13037979003906247
SPY,2026-02-10T21:00:00+00:00,SPY260210P00665000,665.0,0.13,0.12,0.125,33.07589199795829,0.18579915771484373
SPY,2026-02-10T21:00:00+00:00,SPY260210P00645000,645.0,0.04,0.03,0.035,32.79441512823607,0.26367923828125
SPY,2026-02-10T21:00:00+00:00,SPY260210P00663000,663.0,0.1,0.1,0.10500000000000001,32.53802768378877,0.1928791650390625
SPY,2026-02-10T21:00:00+00:00,SPY260210P00661000,661.0,0.08,0.08,0.08499999999999999,30.93492170756411,0.1992267578125
SPY,2026-02-09T21:00:00+00:00,SPY260209C00699000,699.0,0.06,0.05,0.055,-30.58488372697532,0.0727631787109375
SPY,2026-02-10T21:00:00+00:00,SPY260210P00664000,664.0,0.11,0.11,0.11499999999999999,30.00458060350704,0.18946123046875002
SPY,2026-02-09T21:00:00+00:00,SPY260209C00701000,701.0,0.02,0.02,0.025,-29.96179798088525,0.07764594238281251
SPY,2026-02-10T21:00:00+00:00,SPY260210P00662000,662.0,0.09,0.09,0.095,29.80472007233618,0.196297099609375
SPY,2026-02-10T21:00:00+00:00,SPY260210P00635000,635.0,0.04,0.02,0.025,29.470354315678215,0.30664755859375
SPY,2026-02-11T21:00:00+00:00,SPY260211P00650000,650.0,0.07,0.08,0.08499999999999999,29.46650462210484,0.23535920898437498
SPY,2026-02-10T21:00:00+00:00,SPY260210P00666000,666.0,0.14,0.14,0.14500000000000002,28.807328373638942,0.1840901904296875
SPY,2026-02-10T21:00:00+00:00,SPY260210P00630000,630.0,0.03,0.02,0.025,28.75425044063527,0.3320379296875
SPY,2026-02-10T21:00:00+00:00,SPY260210P00640000,640.0,0.03,0.02,0.025,28.725479972694668,0.28125718749999995
SPY,2026-02-10T21:00:00+00:00,SPY260210P00670000,670.0,0.24,0.23,0.235,28.56516023200647,0.17285983398437502
SPY,2026-02-09T21:00:00+00:00,SPY260209P00681000,681.0,0.43,0.42,0.43,28.215275395427625,0.12818254638671872
SPY,2026-02-10T21:00:00+00:00,SPY260210P00668000,668.0,0.19,0.18,0.185,27.916468602873866,0.178719150390625
SPY,2026-02-09T21:00:00+00:00,SPY260209C00698000,698.0,0.1,0.1,0.10500000000000001,-27.847163017105782,0.07373973144531251
SPY,2026-02-10T21:00:00+00:00,SPY260210P00669000,669.0,0.21,0.2,0.20500000000000002,26.758260270738994,0.1753012158203125
SPY,2026-02-11T21:00:00+00:00,SPY260211P00660000,660.0,0.2,0.18,0.185,26.685186886899725,0.20606262695312497
SPY,2026-02-11T21:00:00+00:00,SPY260211P00630000,630.0,0.03,0.03,0.035,26.62381171191876,0.30664755859375
SPY,2026-02-11T21:00:00+00:00,SPY260211P00625000,625.0,0.04,0.03,0.035,26.620528839953806,0.33008482421874996
SPY,2026-02-10T21:00:00+00:00,SPY260210P00667000,667.0,0.17,0.16,0.165,26.61691782101644,0.18164880859375
SPY,2026-02-09T21:00:00+00:00,SPY260209P00682000,682.0,0.51,0.51,0.52,26.229602898984904,0.12537495727539064
AAPL,2026-02-09T21:00:00+00:00,AAPL260209P00262500,262.5,0.03,0.03,0.035,58.27829453479101,0.29492892578124996
AAPL,2026-02-09T21:00:00+00:00,AAPL260209C00287500,287.5,0.07,0.06,0.065,-47.1536311124711,0.20117986328124998
AAPL,2026-02-09T21:00:00+00:00,AAPL260209P00265000,265.0,0.04,0.04,0.05,45.52982303244092,0.2695385546875
AAPL,2026-02-09T21:00:00+00:00,AAPL260209P00260000,260.0,0.02,0.02,0.025,42.12186503174318,0.3242255078124999
AAPL,2026-02-09T21:00:00+00:00,AAPL260209P00267500,267.5,0.08,0.07,0.08,42.06197458657638,0.241218525390625
AAPL,2026-02-09T21:00:00+00:00,AAPL260209P00270000,270.0,0.16,0.16,0.16999999999999998,39.46329377463545,0.22412885253906245
AAPL,2026-02-09T21:00:00+00:00,AAPL260209C00285000,285.0,0.15,0.13,0.14,-34.76010636743182,0.1840901904296875
AAPL,2026-02-11T21:00:00+00:00,AAPL260211P00240000,240.0,0.03,0.03,0.035,32.41482757992546,0.5117236328125
AAPL,2026-02-09T21:00:00+00:00,AAPL260209P00272500,272.5,0.34,0.35,0.36,29.545620207416313,0.2082598706054687
AAPL,2026-02-11T21:00:00+00:00,AAPL260211P00235000,235.0,0.07,0.02,0.025,28.650277724006205,0.5546919531250001
AAPL,2026-02-11T21:00:00+00:00,AAPL260211P00257500,257.5,0.11,0.12,0.125,24.217514983717543,0.35156898437499995
AAPL,2026-02-09T21:00:00+00:00,AAPL260209C00282500,282.5,0.36,0.35,0.36,-23.768585311803598,0.17310397216796874
AAPL,2026-02-11T21:00:00+00:00,AAPL260211P00260000,260.0,0.13,0.15,0.155,22.69078504348842,0.32617861328125
AAPL,2026-02-13T21:00:00+00:00,AAPL260213P00230000,230.0,0.04,0.03,0.04,22.216387359979162,0.5507857421875001
AAPL,2026-02-11T21:00:00+00:00,AAPL260211P00255000,255.0,0.09,0.09,0.1,20.777279064981478,0.37793590820312495
AAPL,2026-02-09T21:00:00+00:00,AAPL260209P00250000,250.0,0.01,0.01,0.015,20.25954969208064,0.46484910156250003
AAPL,2026-02-13T21:00:00+00:00,AAPL260213P00235000,235.0,0.05,0.05,0.060000000000000005,20.17257273199948,0.5195360546875
AAPL,2026-02-11T21:00:00+00:00,AAPL260211C00300000,300.0,0.03,0.03,0.035,-20.080912841232752,0.28711650390624993
AAPL,2026-02-13T21:00:00+00:00,AAPL260213P00237500,237.5,0.06,0.06,0.065,20.050736779181566,0.500005
AAPL,2026-02-13T21:00:00+00:00,AAPL260213P00227500,227.5,0.03,0.03,0.04,19.713145728495203,0.57812921875
